Year,Name,College,POS,Height,Weight,HandSize,ArmLength,Wonderlic,FortyYard,Touches,Rate,RushAvg
2017,Austin Appleby,Florida,QB,76.125,230,,,,,852,114.3,1.6
2017,Bart Houston,Wisconsin,QB,75,234,,,,,226,142.7,-0.3
2017,Brad Kaaya,Miami (FL),QB,75.75,214,9.75,32,34,,1282,146.2,-4.1
2017,C.J. Beathard,Iowa,QB,74.125,219,9.38,30.63,26,,1006,129.8,1.9
2017,Chad Kelly,Mississippi,QB,73.75,224,,,22,,1006,150.9,4.7
2017,Cooper Rush,Central Michigan,QB,74.625,228,9.13,32.38,,4.93,1863,139.1,-0.5
2017,Dane Evans,Tulsa,QB,72.375,210,,,,,1821,131.2,0.3
2017,Davis Webb,California,QB,76.625,229,9.25,33.13,25,4.79,1444,137.1,-1.3
2017,Deshaun Watson,Clemson,QB,74.125,221,9.75,33,20,4.66,1642,157.5,4.4
2017,DeShone Kizer,Notre Dame,QB,76.125,233,9.88,33.13,28,4.83,959,147.7,3.8
2017,Gunner Kiel,Cincinnati,QB,75.25,211,,,,,935,145.5,1.6
2017,Jeremy Johnson,Auburn,QB,76.25,232,,,,,355,145.3,2.9
2017,Jerod Evans,Virginia Tech,QB,74.625,232,9.38,33.13,21,4.8,626,153.1,4.1
2017,Joshua Dobbs,Tennessee,QB,75.25,216,9.25,32.63,29,4.64,1437,133.2,4.9
2017,Justin Holman,Central Florida,QB,75.875,215,,,,,941,116.1,2.4
2017,Mitch Leidner,Minnesota,QB,75.375,226,10,33.75,,4.93,1475,121.2,3.4
2017,Mitchell Trubisky,North Carolina,QB,74.125,222,9.5,32,25,4.67,692,157.6,3.7
2017,Nathan Peterman,Pittsburgh,QB,74.625,226,9.88,32,33,4.82,834,144.9,3.1
2017,Nick Mullens,Southern Miss,QB,72.875,214,,,,,1729,137.8,-1.1
2017,Patrick Mahomes,Texas Tech,QB,74.125,225,9.25,33.25,24,4.8,1657,152,2.7
2017,Patrick Towles,Boston Col.,QB,76.875,241,,,,,1374,115.8,1.9
2017,Perry Hills,Maryland,QB,74.25,209,,,,,829,123.8,2.3
2017,Philip Nelson,East Carolina,QB,73.375,203,,,,,911,127.2,2.7
2017,Phillip Walker,Temple,QB,71.25,214,,,,,1799,129.1,2.3
2017,Sean Maguire,Florida St.,QB,73.875,219,,,,,289,132.5,-7.3
2017,Sefo Liufau,Colorado,QB,75.375,232,10.75,33.5,,5.08,1794,129.9,2.4
2017,Seth Russell,Baylor,QB,74.875,213,9.63,32.25,,,805,159.4,6.2
2017,Trevor Knight,Texas A&M,QB,72.75,219,,,,4.54,1105,124.2,5.8
2017,Wes Lunt,Illinois,QB,76.25,222,,,,,1146,121.7,-5
